strain,pred_pixel_shifted
2.000000000000000042e-03,-2.356447490178929793e-04
2.000000000000000042e-02,-2.356447490178943671e-03
4.000000000000000083e-02,-4.763896573276159285e-03
5.999999999999999778e-02,-7.152091215624066523e-03
8.000000000000000167e-02,-9.458308574100363075e-03
1.000000000000000056e-01,-1.167700761111516855e-02
1.199999999999999956e-01,-1.409170646238521590e-02
1.400000000000000133e-01,-1.634481495985817129e-02
1.600000000000000033e-01,-1.848479455130449395e-02
1.799999999999999933e-01,-2.085234749490158523e-02
2.000000000000000111e-01,-2.335526691432631557e-02
